----------------------------------------------------------------
[0 0 0 0 0 0]		[0.0, 0.0, 0.0]			-1			0.0
[0 0 0 0 0 1]		[0.0, 0.0, -1e-09]			-1			1.6666666666666669e-28
[0 0 0 0 1 0]		[0.0, -1e-09, 0.0]			-1			1.6666666666666669e-28
[0 0 0 0 1 1]		[0.0, -1e-09, -1e-09]			-1			-6.884087592982326e-28
[0 0 0 1 0 0]		[-1e-09, 0.0, 0.0]			-1			-3.3333333333333338e-28
[0 0 0 1 0 1]		[-1e-09, 0.0, -1e-09]			-1			3.442043796491163e-28
[0 0 0 1 1 0]		[-1e-09, -1e-09, 0.0]			-1			3.442043796491163e-28
[0 0 0 1 1 1]		[-1e-09, -1e-09, -1e-09]			-1			2.9999999480384775e-35
[0 0 1 0 0 0]		[0.0, 0.0, 1e-09]			-1			1.6666666666666669e-28
[0 0 1 0 0 1]		[0.0, 0.0, 0.0]			-1			-0.0
[0 0 1 0 1 0]		[0.0, -1e-09, 1e-09]			-1			-6.884087592982326e-28
[0 0 1 0 1 1]		[0.0, -1e-09, 0.0]			-1			5e-28
[0 0 1 1 0 0]		[-1e-09, 0.0, 1e-09]			-1			3.442043796491163e-28
[0 0 1 1 0 1]		[-1e-09, 0.0, 0.0]			-1			-1e-27
[0 0 1 1 1 0]		[-1e-09, -1e-09, 1e-09]			-1			2.9999999480384775e-35
[0 0 1 1 1 1]		[-1e-09, -1e-09, 0.0]			-1			6.884087592982326e-28
[0 1 0 0 0 0]		[0.0, 1e-09, 0.0]			-1			1.6666666666666669e-28
[0 1 0 0 0 1]		[0.0, 1e-09, -1e-09]			-1			-6.884087592982326e-28
[0 1 0 0 1 0]		[0.0, 0.0, 0.0]			-1			-0.0
[0 1 0 0 1 1]		[0.0, 0.0, -1e-09]			-1			5e-28
[0 1 0 1 0 0]		[-1e-09, 1e-09, 0.0]			-1			3.442043796491163e-28
[0 1 0 1 0 1]		[-1e-09, 1e-09, -1e-09]			-1			2.9999999480384775e-35
[0 1 0 1 1 0]		[-1e-09, 0.0, 0.0]			-1			-1e-27
[0 1 0 1 1 1]		[-1e-09, 0.0, -1e-09]			-1			6.884087592982326e-28
[0 1 1 0 0 0]		[0.0, 1e-09, 1e-09]			-1			-6.884087592982326e-28
[0 1 1 0 0 1]		[0.0, 1e-09, 0.0]			-1			5e-28
[0 1 1 0 1 0]		[0.0, 0.0, 1e-09]			-1			5e-28
[0 1 1 0 1 1]		[0.0, 0.0, 0.0]			-1			-0.0
[0 1 1 1 0 0]		[-1e-09, 1e-09, 1e-09]			-1			2.9999999480384775e-35
[0 1 1 1 0 1]		[-1e-09, 1e-09, 0.0]			-1			6.884087592982326e-28
[0 1 1 1 1 0]		[-1e-09, 0.0, 1e-09]			-1			6.884087592982326e-28
